Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,TotalCount
History,HIST,HIST 10,2567,SKRIABIN G,36.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,45
History,HIST,HIST 10,2568,SKRIABIN G,31.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44
History,HIST,HIST 10,2569,COWAN W,13.0,12.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,44
History,HIST,HIST 10,2570,AMERIAN-DONNELL S,12.0,15.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,40
History,HIST,HIST 10,2571,AMERIAN-DONNELL S,6.0,10.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,42
History,HIST,HIST 10,2572,SLAUGHTER M A,22.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,42
History,HIST,HIST 10,3659,SKRIABIN G,18.0,15.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,42
History,HIST,HIST 11,2573,AMERIAN-DONNELL S,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21
History,HIST,HIST 11,2574,AMERIAN-DONNELL S,11.0,17.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,46
History,HIST,HIST 11,2575,GOLDER L,15.0,10.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,41
History,HIST,HIST 11,2577,VANBENSCHOTEN W,9.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,34
History,HIST,HIST 11,2578,VANBENSCHOTEN W,4.0,8.0,8.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,32
History,HIST,HIST 11,2579,LYNCH S H,21.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,43
History,HIST,HIST 11,2580,BOLELLI D,21.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,46
History,HIST,HIST 12,2581,MORENO M,7.0,3.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,39
History,HIST,HIST 12,2582,MORENO M,7.0,10.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,38
History,HIST,HIST 12,2583,MORENO M,12.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,23
History,HIST,HIST 12,2584,MORENO M,9.0,13.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,36
History,HIST,HIST 12,2585,MANOFF R J,21.0,8.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,41
History,HIST,HIST 12,2586,CHI J S,17.0,15.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,42
History,HIST,HIST 12,2587,LYNCH S H,22.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,41
History,HIST,HIST 12,2588,VANBENSCHOTEN W,12.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36
History,HIST,HIST 13,2589,MCMILLEN R,14.0,4.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,36
History,HIST,HIST 14,2590,COWAN W,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8
History,HIST,HIST 16,2593,CLAYBORNE D,6.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,35
History,HIST,HIST 16,2594,MCMILLEN R,26.0,6.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,41
History,HIST,HIST 22,2595,YEGANEHSHAKIB R,32.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,44
History,HIST,HIST 24,2596,REILLY B J,6.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,15
History,HIST,HIST 28,2597,BENNETT H M,13.0,8.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,39
History,HIST,HIST 32,2598,FOUSER D C,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,14
History,HIST,HIST 33,2599,REILLY B J,8.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,30
History,HIST,HIST 33,2600,REILLY B J,13.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,38
History,HIST,HIST 34,2601,REILLY B J,12.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,28
History,HIST,HIST 41,2603,BOLELLI D,26.0,10.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,46
History,HIST,HIST 43,2604,MORENO M,11.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,13.0,33
History,HIST,HIST 53,2605,BOLELLI D,15.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,37
History,HIST,HIST 62,2606,CHI J S,18.0,8.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,43
